Kommunenr,Kommunenavn,Fylkenr,Fylkenavn,IMDiRegion,Næringsregionnr,Næringsregion_navn,Sentralitet_nr_2008,Sentralitet_kat_2008,,,
0101,Halden,01,Østfold,IMDi Øst,3001,Halden (f.o.m. 2018),3,Sentrale kommuner,,,
0104,Moss,01,Østfold,IMDi Øst,3003,Mosseregionen (f.o.m. 2018),3,Sentrale kommuner,,,
0105,Sarpsborg,01,Østfold,IMDi Øst,3004,Nedre Glomma (f.o.m. 2018),3,Sentrale kommuner,,,
0106,Fredrikstad,01,Østfold,IMDi Øst,3004,Nedre Glomma (f.o.m. 2018),3,Sentrale kommuner,,,
0111,Hvaler,01,Østfold,IMDi Øst,3004,Nedre Glomma (f.o.m. 2018),2,Noe sentrale kommuner,,,
0118,Aremark,01,Østfold,IMDi Øst,3002,Indre Østfold (f.o.m. 2018),2,Noe sentrale kommuner,,,
0119,Marker,01,Østfold,IMDi Øst,3002,Indre Østfold (f.o.m. 2018),3,Sentrale kommuner,,,
0121,Rømskog,01,Østfold,IMDi Øst,3007,Nedre Romerike (f.o.m. 2018),3,Sentrale kommuner,,,
0122,Trøgstad,01,Østfold,IMDi Øst,3002,Indre Østfold (f.o.m. 2018),3,Sentrale kommuner,,,
0123,Spydeberg,01,Østfold,IMDi Øst,3002,Indre Østfold (f.o.m. 2018),3,Sentrale kommuner,,,
0124,Askim,01,Østfold,IMDi Øst,3002,Indre Østfold (f.o.m. 2018),3,Sentrale kommuner,,,
0125,Eidsberg,01,Østfold,IMDi Øst,3002,Indre Østfold (f.o.m. 2018),3,Sentrale kommuner,,,
0127,Skiptvet,01,Østfold,IMDi Øst,3002,Indre Østfold (f.o.m. 2018),3,Sentrale kommuner,,,
0128,Rakkestad,01,Østfold,IMDi Øst,3002,Indre Østfold (f.o.m. 2018),3,Sentrale kommuner,,,
0135,Råde,01,Østfold,IMDi Øst,3003,Mosseregionen (f.o.m. 2018),3,Sentrale kommuner,,,
0136,Rygge,01,Østfold,IMDi Øst,3003,Mosseregionen (f.o.m. 2018),3,Sentrale kommuner,,,
0137,Våler (Østfold),01,Østfold,IMDi Øst,3003,Mosseregionen (f.o.m. 2018),3,Sentrale kommuner,,,
0138,Hobøl,01,Østfold,IMDi Øst,3002,Indre Østfold (f.o.m. 2018),3,Sentrale kommuner,,,
0211,Vestby,02,Akershus,IMDi Øst,3006,Follo (f.o.m. 2018),3,Sentrale kommuner,,,
0213,Ski,02,Akershus,IMDi Øst,3006,Follo (f.o.m. 2018),3,Sentrale kommuner,,,
0214,Ås,02,Akershus,IMDi Øst,3006,Follo (f.o.m. 2018),3,Sentrale kommuner,,,
0215,Frogn,02,Akershus,IMDi Øst,3006,Follo (f.o.m. 2018),3,Sentrale kommuner,,,
0216,Nesodden,02,Akershus,IMDi Øst,3006,Follo (f.o.m. 2018),3,Sentrale kommuner,,,
0217,Oppegård,02,Akershus,IMDi Øst,3006,Follo (f.o.m. 2018),3,Sentrale kommuner,,,
0219,Bærum,02,Akershus,IMDi Øst,3005,Nye Asker og Bærum (f.o.m. 2018),3,Sentrale kommuner,,,
0220,Asker,02,Akershus,IMDi Øst,3005,Nye Asker og Bærum (f.o.m. 2018),3,Sentrale kommuner,,,
0221,Aurskog-Høland,02,Akershus,IMDi Øst,3007,Nedre Romerike (f.o.m. 2018),3,Sentrale kommuner,,,
0226,Sørum,02,Akershus,IMDi Øst,3007,Nedre Romerike (f.o.m. 2018),3,Sentrale kommuner,,,
0227,Fet,02,Akershus,IMDi Øst,3007,Nedre Romerike (f.o.m. 2018),3,Sentrale kommuner,,,
0228,Rælingen,02,Akershus,IMDi Øst,3007,Nedre Romerike (f.o.m. 2018),3,Sentrale kommuner,,,
0229,Enebakk,02,Akershus,IMDi Øst,3006,Follo (f.o.m. 2018),3,Sentrale kommuner,,,
0230,Lørenskog,02,Akershus,IMDi Øst,3007,Nedre Romerike (f.o.m. 2018),3,Sentrale kommuner,,,
0231,Skedsmo,02,Akershus,IMDi Øst,3007,Nedre Romerike (f.o.m. 2018),3,Sentrale kommuner,,,
0233,Nittedal,02,Akershus,IMDi Øst,3007,Nedre Romerike (f.o.m. 2018),3,Sentrale kommuner,,,
0234,Gjerdrum,02,Akershus,IMDi Øst,3008,Øvre Romerike (f.o.m. 2018),3,Sentrale kommuner,,,
0235,Ullensaker,02,Akershus,IMDi Øst,3008,Øvre Romerike (f.o.m. 2018),3,Sentrale kommuner,,,
0236,Nes (Akershus),02,Akershus,IMDi Øst,3008,Øvre Romerike (f.o.m. 2018),3,Sentrale kommuner,,,
0237,Eidsvoll,02,Akershus,IMDi Øst,3008,Øvre Romerike (f.o.m. 2018),3,Sentrale kommuner,,,
0238,Nannestad,02,Akershus,IMDi Øst,3008,Øvre Romerike (f.o.m. 2018),3,Sentrale kommuner,,,
0239,Hurdal,02,Akershus,IMDi Øst,3008,Øvre Romerike (f.o.m. 2018),3,Sentrale kommuner,,,
0301,Oslo,03,Oslo,IMDi Øst,3009,Oslo (f.o.m. 2018),3,Sentrale kommuner,,,
0402,Kongsvinger,04,Hedmark,IMDi Indre Øst,3011,Glåmdal (f.o.m. 2018),3,Sentrale kommuner,,,
0403,Hamar,04,Hedmark,IMDi Indre Øst,3012,Hamarregionen (f.o.m. 2018),3,Sentrale kommuner,,,
0412,Ringsaker,04,Hedmark,IMDi Indre Øst,3012,Hamarregionen (f.o.m. 2018),2,Noe sentrale kommuner,,,
0415,Løten,04,Hedmark,IMDi Indre Øst,3012,Hamarregionen (f.o.m. 2018),3,Sentrale kommuner,,,
0417,Stange,04,Hedmark,IMDi Indre Øst,3012,Hamarregionen (f.o.m. 2018),3,Sentrale kommuner,,,
0418,Nord-Odal,04,Hedmark,IMDi Indre Øst,3011,Glåmdal (f.o.m. 2018),3,Sentrale kommuner,,,
0419,Sør-Odal,04,Hedmark,IMDi Indre Øst,3011,Glåmdal (f.o.m. 2018),3,Sentrale kommuner,,,
0420,Eidskog,04,Hedmark,IMDi Indre Øst,3011,Glåmdal (f.o.m. 2018),3,Sentrale kommuner,,,
0423,Grue,04,Hedmark,IMDi Indre Øst,3011,Glåmdal (f.o.m. 2018),1,Mindre sentrale kommuner,,,
0425,Åsnes,04,Hedmark,IMDi Indre Øst,3011,Glåmdal (f.o.m. 2018),2,Noe sentrale kommuner,,,
0426,Våler (Hedmark),04,Hedmark,IMDi Indre Øst,3011,Glåmdal (f.o.m. 2018),2,Noe sentrale kommuner,,,
0427,Elverum,04,Hedmark,IMDi Indre Øst,3013,Sør Østerdal (f.o.m. 2018),2,Noe sentrale kommuner,,,
0428,Trysil,04,Hedmark,IMDi Indre Øst,3013,Sør Østerdal (f.o.m. 2018),0,Minst sentrale kommuner,,,
0429,Åmot,04,Hedmark,IMDi Indre Øst,3013,Sør Østerdal (f.o.m. 2018),2,Noe sentrale kommuner,,,
0430,Stor-Elvdal,04,Hedmark,IMDi Indre Øst,3013,Sør Østerdal (f.o.m. 2018),0,Minst sentrale kommuner,,,
0432,Rendalen,04,Hedmark,IMDi Indre Øst,3010,Fjellregionen (f.o.m. 2018),0,Minst sentrale kommuner,,,
0434,Engerdal,04,Hedmark,IMDi Indre Øst,3011,Sør Østerdal (f.o.m. 2018),0,Minst sentrale kommuner,,,
0436,Tolga,04,Hedmark,IMDi Indre Øst,3010,Fjellregionen (f.o.m. 2018),0,Minst sentrale kommuner,,,
0437,Tynset,04,Hedmark,IMDi Indre Øst,3010,Fjellregionen (f.o.m. 2018),0,Minst sentrale kommuner,,,
0438,Alvdal,04,Hedmark,IMDi Indre Øst,3010,Fjellregionen (f.o.m. 2018),0,Minst sentrale kommuner,,,
0439,Folldal,04,Hedmark,IMDi Indre Øst,3010,Fjellregionen (f.o.m. 2018),0,Minst sentrale kommuner,,,
0441,Os (Hedmark),04,Hedmark,IMDi Indre Øst,3010,Fjellregionen (f.o.m. 2018),0,Minst sentrale kommuner,,,
0501,Lillehammer,05,Oppland,IMDi Indre Øst,3016,Lillehammerregionen (f.o.m. 2018),2,Noe sentrale kommuner,,,
0502,Gjøvik,05,Oppland,IMDi Indre Øst,3014,Gjøvikregionen (f.o.m. 2018),2,Noe sentrale kommuner,,,
0511,Dovre,05,Oppland,IMDi Indre Øst,3018,Nord-Gudbrandsdal (f.o.m. 2018),0,Minst sentrale kommuner,,,
0512,Lesja,05,Oppland,IMDi Indre Øst,3018,Nord-Gudbrandsdal (f.o.m. 2018),0,Minst sentrale kommuner,,,
0513,Skjåk,05,Oppland,IMDi Indre Øst,3018,Nord-Gudbrandsdal (f.o.m. 2018),0,Minst sentrale kommuner,,,
0514,Lom,05,Oppland,IMDi Indre Øst,3018,Nord-Gudbrandsdal (f.o.m. 2018),0,Minst sentrale kommuner,,,
0515,Vågå,05,Oppland,IMDi Indre Øst,3018,Nord-Gudbrandsdal (f.o.m. 2018),0,Minst sentrale kommuner,,,
0516,Nord-Fron,05,Oppland,IMDi Indre Øst,3017,Midt-Gudbrandsdal (f.o.m. 2018),0,Minst sentrale kommuner,,,
0517,Sel,05,Oppland,IMDi Indre Øst,3018,Nord-Gudbrandsdal (f.o.m. 2018),0,Minst sentrale kommuner,,,
0519,Sør-Fron,05,Oppland,IMDi Indre Øst,3017,Midt-Gudbrandsdal (f.o.m. 2018),2,Noe sentrale kommuner,,,
0520,Ringebu,05,Oppland,IMDi Indre Øst,3017,Midt-Gudbrandsdal (f.o.m. 2018),2,Noe sentrale kommuner,,,
0521,Øyer,05,Oppland,IMDi Indre Øst,3016,Lillehammerregionen (f.o.m. 2018),2,Noe sentrale kommuner,,,
0522,Gausdal,05,Oppland,IMDi Indre Øst,3016,Lillehammerregionen (f.o.m. 2018),2,Noe sentrale kommuner,,,
0528,Østre Toten,05,Oppland,IMDi Indre Øst,3014,Gjøvikregionen (f.o.m. 2018),2,Noe sentrale kommuner,,,
0529,Vestre Toten,05,Oppland,IMDi Indre Øst,3014,Gjøvikregionen (f.o.m. 2018),2,Noe sentrale kommuner,,,
0532,Jevnaker,05,Oppland,IMDi Indre Øst,3015,Hadeland (f.o.m. 2018),3,Sentrale kommuner,,,
0533,Lunner,05,Oppland,IMDi Indre Øst,3015,Hadeland (f.o.m. 2018),3,Sentrale kommuner,,,
0534,Gran,05,Oppland,IMDi Indre Øst,3015,Hadeland (f.o.m. 2018),3,Sentrale kommuner,,,
0536,Søndre Land,05,Oppland,IMDi Indre Øst,3014,Gjøvikregionen (f.o.m. 2018),2,Noe sentrale kommuner,,,
0538,Nordre Land,05,Oppland,IMDi Indre Øst,3014,Gjøvikregionen (f.o.m. 2018),2,Noe sentrale kommuner,,,
0540,Sør-Aurdal,05,Oppland,IMDi Indre Øst,3019,Valdres (f.o.m. 2018),0,Minst sentrale kommuner,,,
0541,Etnedal,05,Oppland,IMDi Indre Øst,3019,Valdres (f.o.m. 2018),2,Noe sentrale kommuner,,,
0542,Nord-Aurdal,05,Oppland,IMDi Indre Øst,3019,Valdres (f.o.m. 2018),0,Minst sentrale kommuner,,,
0543,Vestre Slidre,05,Oppland,IMDi Indre Øst,3019,Valdres (f.o.m. 2018),0,Minst sentrale kommuner,,,
0544,Øystre Slidre,05,Oppland,IMDi Indre Øst,3019,Valdres (f.o.m. 2018),0,Minst sentrale kommuner,,,
0545,Vang,05,Oppland,IMDi Indre Øst,3019,Valdres (f.o.m. 2018),0,Minst sentrale kommuner,,,
0602,Drammen,06,Buskerud,IMDi Indre Øst,3020,Drammensregionen (f.o.m. 2018),3,Sentrale kommuner,,,
0604,Kongsberg,06,Buskerud,IMDi Indre Øst,3022,Kongsberg/Numedal (f.o.m. 2018),3,Sentrale kommuner,,,
0605,Ringerike,06,Buskerud,IMDi Indre Øst,3024,Ringerike/Hole (f.o.m. 2018),3,Sentrale kommuner,,,
0612,Hole,06,Buskerud,IMDi Indre Øst,3024,Ringerike/Hole (f.o.m. 2018),3,Sentrale kommuner,,,
0615,Flå,06,Buskerud,IMDi Indre Øst,3021,Hallingdal (f.o.m. 2018),0,Minst sentrale kommuner,,,
0616,Nes (Buskerud),06,Buskerud,IMDi Indre Øst,3021,Hallingdal (f.o.m. 2018),0,Minst sentrale kommuner,,,
0617,Gol,06,Buskerud,IMDi Indre Øst,3021,Hallingdal (f.o.m. 2018),0,Minst sentrale kommuner,,,
0618,Hemsedal,06,Buskerud,IMDi Indre Øst,3021,Hallingdal (f.o.m. 2018),0,Minst sentrale kommuner,,,
0619,Ål,06,Buskerud,IMDi Indre Øst,3021,Hallingdal (f.o.m. 2018),0,Minst sentrale kommuner,,,
0620,Hol,06,Buskerud,IMDi Indre Øst,3021,Hallingdal (f.o.m. 2018),0,Minst sentrale kommuner,,,
0621,Sigdal,06,Buskerud,IMDi Indre Øst,3023,Midt-Buskerud (f.o.m. 2018),3,Sentrale kommuner,,,
0622,Krødsherad,06,Buskerud,IMDi Indre Øst,3023,Midt-Buskerud (f.o.m. 2018),3,Sentrale kommuner,,,
0623,Modum,06,Buskerud,IMDi Indre Øst,3023,Midt-Buskerud (f.o.m. 2018),3,Sentrale kommuner,,,
0624,Øvre Eiker,06,Buskerud,IMDi Indre Øst,3020,Drammensregionen (f.o.m. 2018),3,Sentrale kommuner,,,
0625,Nedre Eiker,06,Buskerud,IMDi Indre Øst,3020,Drammensregionen (f.o.m. 2018),3,Sentrale kommuner,,,
0626,Lier,06,Buskerud,IMDi Indre Øst,3020,Drammensregionen (f.o.m. 2018),3,Sentrale kommuner,,,
0627,Røyken,06,Buskerud,IMDi Indre Øst,3005,Nye Asker og Bærum (f.o.m. 2018),3,Sentrale kommuner,,,
0628,Hurum,06,Buskerud,IMDi Indre Øst,3005,Nye Asker og Bærum (f.o.m. 2018),3,Sentrale kommuner,,,
0631,Flesberg,06,Buskerud,IMDi Indre Øst,3022,Kongsberg/Numedal (f.o.m. 2018),3,Sentrale kommuner,,,
0632,Rollag,06,Buskerud,IMDi Indre Øst,3022,Kongsberg/Numedal (f.o.m. 2018),2,Noe sentrale kommuner,,,
0633,Nore og Uvdal,06,Buskerud,IMDi Indre Øst,3022,Kongsberg/Numedal (f.o.m. 2018),0,Minst sentrale kommuner,,,
0701,Horten,07,Vestfold,IMDi Øst,3026,Tønsbergregionen (f.o.m. 2018),3,Sentrale kommuner,,,
0702,Holmestrand (t.o.m. 2017),07,Vestfold,IMDi Øst,25,Tønsbergregionen (t.o.m. 2017),3,Sentrale kommuner,,,
0704,Tønsberg,07,Vestfold,IMDi Øst,3026,Tønsbergregionen (f.o.m. 2018),3,Sentrale kommuner,,,
0706,Sandefjord (t.o.m. 2016),07,Vestfold,IMDi Øst,26,Sandefjord/Larvik (t.o.m. 2017),3,Sentrale kommuner,,,
0709,Larvik (t.o.m. 2017),07,Vestfold,IMDi Øst,26,Sandefjord/Larvik (t.o.m. 2017),2,Noe sentrale kommuner,,,
0710,Sandefjord (f.o.m. 2017),07,Vestfold,IMDi Øst,3027,Sandefjord (f.o.m. 2018),3,Sentrale kommuner,,,
0711,Svelvik,07,Vestfold,IMDi Øst,3020,Drammensregionen (f.o.m. 2018),3,Sentrale kommuner,,,
0712,Larvik (f.o.m. 2018),07,Vestfold,IMDi Øst,3028,Larvik/Lardal (f.o.m. 2018),2,Noe sentrale kommuner,,,
0713,Sande (Vestfold),07,Vestfold,IMDi Øst,3025,Vestfold Nord (f.o.m. 2018),3,Sentrale kommuner,,,
0714,Hof (t.o.m. 2017),07,Vestfold,IMDi Øst,25,Tønsbergregionen (t.o.m. 2017),3,Sentrale kommuner,,,
0715,Holmestrand (f.o.m. 2018),07,Vestfold,IMDi Øst,3025,Vestfold Nord (f.o.m. 2018),3,Sentrale kommuner,,,
0716,Re,07,Vestfold,IMDi Øst,3026,Tønsbergregionen (f.o.m. 2018),3,Sentrale kommuner,,,
0719,Andebu (t.o.m. 2016),07,Vestfold,IMDi Øst,25,Tønsbergregionen (t.o.m. 2017),3,Sentrale kommuner,,,
0720,Stokke (t.o.m. 2016),07,Vestfold,IMDi Øst,25,Tønsbergregionen (t.o.m. 2017),3,Sentrale kommuner,,,
0722,Nøtterøy (t.o.m. 2017),07,Vestfold,IMDi Øst,25,Tønsbergregionen (t.o.m. 2017),3,Sentrale kommuner,,,
0723,Tjøme (t.o.m. 2017),07,Vestfold,IMDi Øst,25,Tønsbergregionen (t.o.m. 2017),2,Noe sentrale kommuner,,,
0728,Lardal (t.o.m. 2017),07,Vestfold,IMDi Øst,26,Sandefjord/Larvik (t.o.m. 2017),3,Sentrale kommuner,,,
0729,Færder,07,Vestfold,IMDi Øst,3026,Tønsbergregionen (f.o.m. 2018),3,Sentrale kommuner,,,
0805,Porsgrunn,08,Telemark,IMDi Sør,3029,Grenland (f.o.m. 2018),2,Noe sentrale kommuner,,,
0806,Skien,08,Telemark,IMDi Sør,3029,Grenland (f.o.m. 2018),2,Noe sentrale kommuner,,,
0807,Notodden,08,Telemark,IMDi Sør,3031,Øst-Telemark (f.o.m. 2018),2,Noe sentrale kommuner,,,
0811,Siljan,08,Telemark,IMDi Sør,3029,Grenland (f.o.m. 2018),2,Noe sentrale kommuner,,,
0814,Bamble,08,Telemark,IMDi Sør,3029,Grenland (f.o.m. 2018),2,Noe sentrale kommuner,,,
0815,Kragerø,08,Telemark,IMDi Sør,3029,Grenland (f.o.m. 2018),2,Noe sentrale kommuner,,,
0817,Drangedal,08,Telemark,IMDi Sør,3029,Grenland (f.o.m. 2018),2,Noe sentrale kommuner,,,
0819,Nome,08,Telemark,IMDi Sør,3030,Midt-Telemark (f.o.m. 2018),2,Noe sentrale kommuner,,,
0821,Bø (Telemark),08,Telemark,IMDi Sør,3030,Midt-Telemark (f.o.m. 2018),2,Noe sentrale kommuner,,,
0822,Sauherad,08,Telemark,IMDi Sør,3030,Midt-Telemark (f.o.m. 2018),2,Noe sentrale kommuner,,,
0826,Tinn,08,Telemark,IMDi Sør,3031,Øst-Telemark (f.o.m. 2018),0,Minst sentrale kommuner,,,
0827,Hjartdal,08,Telemark,IMDi Sør,3031,Øst-Telemark (f.o.m. 2018),2,Noe sentrale kommuner,,,
0828,Seljord,08,Telemark,IMDi Sør,3032,Vest-Telemark (f.o.m. 2018),0,Minst sentrale kommuner,,,
0829,Kviteseid,08,Telemark,IMDi Sør,3032,Vest-Telemark (f.o.m. 2018),0,Minst sentrale kommuner,,,
0830,Nissedal,08,Telemark,IMDi Sør,3032,Vest-Telemark (f.o.m. 2018),0,Minst sentrale kommuner,,,
0831,Fyresdal,08,Telemark,IMDi Sør,3032,Vest-Telemark (f.o.m. 2018),0,Minst sentrale kommuner,,,
0833,Tokke,08,Telemark,IMDi Sør,3032,Vest-Telemark (f.o.m. 2018),0,Minst sentrale kommuner,,,
0834,Vinje,08,Telemark,IMDi Sør,3032,Vest-Telemark (f.o.m. 2018),0,Minst sentrale kommuner,,,
0901,Risør,09,Aust-Agder,IMDi Sør,3034,Arendalregionen (f.o.m. 2018),2,Noe sentrale kommuner,,,
0904,Grimstad,09,Aust-Agder,IMDi Sør,3034,Arendalregionen (f.o.m. 2018),3,Sentrale kommuner,,,
0906,Arendal,09,Aust-Agder,IMDi Sør,3034,Arendalregionen (f.o.m. 2018),3,Sentrale kommuner,,,
0911,Gjerstad,09,Aust-Agder,IMDi Sør,3034,Arendalregionen (f.o.m. 2018),2,Noe sentrale kommuner,,,
0912,Vegårshei,09,Aust-Agder,IMDi Sør,3034,Arendalregionen (f.o.m. 2018),2,Noe sentrale kommuner,,,
0914,Tvedestrand,09,Aust-Agder,IMDi Sør,3034,Arendalregionen (f.o.m. 2018),2,Noe sentrale kommuner,,,
0919,Froland,09,Aust-Agder,IMDi Sør,3034,Arendalregionen (f.o.m. 2018),3,Sentrale kommuner,,,
0926,Lillesand,09,Aust-Agder,IMDi Sør,3037,Kristiansandregionen (f.o.m. 2018),3,Sentrale kommuner,,,
0928,Birkenes,09,Aust-Agder,IMDi Sør,3037,Kristiansandregionen (f.o.m. 2018),3,Sentrale kommuner,,,
0929,Åmli,09,Aust-Agder,IMDi Sør,3034,Arendalregionen (f.o.m. 2018),2,Noe sentrale kommuner,,,
0935,Iveland,09,Aust-Agder,IMDi Sør,3037,Kristiansandregionen (f.o.m. 2018),3,Sentrale kommuner,,,
0937,Evje og Hornnes,09,Aust-Agder,IMDi Sør,3033,Setesdal (f.o.m. 2018),3,Sentrale kommuner,,,
0938,Bygland,09,Aust-Agder,IMDi Sør,3033,Setesdal (f.o.m. 2018),3,Sentrale kommuner,,,
0940,Valle,09,Aust-Agder,IMDi Sør,3033,Setesdal (f.o.m. 2018),0,Minst sentrale kommuner,,,
0941,Bykle,09,Aust-Agder,IMDi Sør,3033,Setesdal (f.o.m. 2018),0,Minst sentrale kommuner,,,
1001,Kristiansand,10,Vest-Agder,IMDi Sør,3037,Kristiansandregionen (f.o.m. 2018),3,Sentrale kommuner,,,
